text,label,clean_text
Your account has been suspended. Click the link to verify your credentials.,1,account been suspended click link verify credentials
Congratulations! You've won a free cruise to the Bahamas!,1,congratulations ve won a free cruise bahamas
Urgent: Confirm your banking details immediately to avoid penalties.,1,urgent confirm banking details immediately avoid penalties
"Hey, just checking in about tomorrow's team lunch.",0,hey just checking about tomorrow s team lunch
Please find the attached report for this week's sales metrics.,0,please find attached report week s sales metrics
Let's finalize the deck before the client call at 4 PM.,0,let s finalize deck before client call pm
"Dear user, your Netflix account needs verification. Update here.",1,dear user netflix account needs verification update here
You have received a secured message. Login to read it.,1,received a secured message login read
Final notice: Your domain will expire soon. Renew now!,1,final notice domain will expire soon renew now
Thanks for the help on that analysis yesterday. Really appreciate it!,0,thanks help analysis yesterday really appreciate
